,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Atuona,-9.8,-139.0333,78.04,75,51,15.79,PF,broken clouds
1,Jamestown,42.097,-79.2353,76.59,50,40,15.99,US,scattered clouds
2,Provideniya,64.3833,-173.3,42.67,80,99,10.54,RU,light rain
3,Klaksvik,62.2266,-6.589,50.92,80,89,6.44,FO,overcast clouds
4,Hermanus,-34.4187,19.2345,57.9,87,99,8.3,ZA,overcast clouds
5,Kiunga,-6.1219,141.2906,72.81,100,100,0.65,PG,overcast clouds
6,Santa Cruz Del Norte,23.1539,-81.9236,90.21,62,7,14.79,CU,clear sky
7,Bluff,-46.6,168.3333,50.81,69,100,21.85,NZ,light rain
8,Punta Arenas,-53.15,-70.9167,50.11,32,0,12.66,CL,clear sky
9,Udachnyy,66.4167,112.4,44.06,75,99,3.91,RU,overcast clouds
10,Tuktoyaktuk,69.4541,-133.0374,48.2,76,75,10.36,CA,broken clouds
11,Busselton,-33.65,115.3333,40.08,86,5,7.56,AU,clear sky
12,El Tigre,8.8875,-64.2454,92.03,35,54,10.25,VE,broken clouds
13,Puerto Ayora,-0.7393,-90.3518,76.96,85,99,8.01,EC,overcast clouds
14,Ostrovnoy,68.0531,39.5131,40.73,81,97,13.85,RU,overcast clouds
15,Manggar,-2.8833,108.2667,81.0,81,100,8.77,ID,light rain
16,Yagodnoye,62.55,149.6667,27.28,76,25,1.83,RU,scattered clouds
17,Bayan,46.0833,127.4,45.72,96,5,5.91,CN,clear sky
18,Clyde River,70.4692,-68.5914,33.19,82,100,18.81,CA,light snow
19,Port Alfred,-33.5906,26.891,71.74,72,19,12.24,ZA,few clouds
20,Avarua,-21.2078,-159.775,77.05,83,20,12.66,CK,few clouds
21,Aklavik,68.2191,-135.0107,49.03,81,75,8.05,CA,broken clouds
22,Chuy,-33.6971,-53.4616,60.6,81,62,5.91,UY,broken clouds
23,Mankato,44.1636,-93.9994,84.96,65,1,0.0,US,clear sky
24,Vaini,-21.2,-175.2,73.56,88,75,6.91,TO,light rain
25,Ancud,-41.8697,-73.8203,52.43,91,100,20.54,CL,light rain
26,Mussomeli,37.5778,13.7513,65.19,87,1,8.25,IT,clear sky
27,Qaanaaq,77.484,-69.3632,23.32,70,11,6.91,GL,few clouds
