City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Atuona,PF,78.04,-9.8,-139.0333,Villa Enata
1,Jamestown,US,76.59,42.097,-79.2353,Hampton Inn & Suites Jamestown
13,Puerto Ayora,EC,76.96,-0.7393,-90.3518,Finch Bay Galapagos Hotel
15,Manggar,ID,81.0,-2.8833,108.2667,Guest Hotel
20,Avarua,CK,77.05,-21.2078,-159.775,Paradise Inn
23,Mankato,US,84.96,44.1636,-93.9994,Hilton Garden Inn Mankato Downtown
28,Butaritari,KI,82.94,3.0707,172.7902,Isles Sunset Lodge
29,Huaicheng,CN,79.99,23.9051,112.1931,Tengye Hotel
39,Bengkulu,ID,75.2,-3.8004,102.2655,Grage Hotel Bengkulu
44,Sinnamary,GF,84.42,5.3833,-52.95,ALETHEIA Appartement Sinnamary
45,Resistencia,AR,81.09,-27.4606,-58.9839,Niyat Urban Hotel
54,Port Blair,IN,81.19,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
59,Vila Velha,BR,80.55,-20.3297,-40.2925,Quality Suites Vila Velha
61,Hilo,US,80.28,19.7297,-155.09,Hilo Hawaiian Hotel
62,Saint Anthony,US,80.26,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
63,Paita,PE,75.76,-5.0892,-81.1144,Hotel Náutico de Paita
72,Port Keats,AU,75.11,-14.25,129.55,TDC Village (Hundred Man Camp)
73,Huicheng,CN,82.35,23.0385,116.2899,Huilai Hotel
82,Kapaa,US,81.12,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
84,Sabang,ID,81.99,5.8933,95.3214,Hotel Citra
86,Sao Filipe,CV,80.13,14.8961,-24.4956,Hotel Xaguate
87,Porto De Moz,BR,88.36,-1.7483,-52.2383,Dormitório labelle
91,Portland,US,75.29,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
93,East London,ZA,80.08,-33.0153,27.9116,Tu Casa
96,Cabinda,AO,75.11,-5.55,12.2,Hotel Maiombe
98,Port-Gentil,GA,75.16,-0.7193,8.7815,Fengshui Residence
104,Lexington,US,80.58,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
108,Victoria,HK,86.97,22.2855,114.1577,Mini Hotel Central
109,Garissa,KE,76.93,-0.4536,39.6401,Sharif Plaza Hotel
112,Guisijan,PH,79.93,11.0932,122.0461,Bagongbayan
116,Hirara,JP,83.32,24.8,125.2833,Hotel Atoll Emerald Miyakojima
119,Hithadhoo,MV,82.98,-0.6,73.0833,Scoop Guest House
130,San Pedro,PH,78.03,14.35,121.0167,Villa Veronica Resort Private Pool
131,Kutum,SD,80.01,14.2,24.6667,Dibbo areaمنطقة دبو
133,Rio Cuarto,AR,76.77,-33.1307,-64.3499,Grand Hotel Río Cuarto
135,San,ML,84.36,13.3034,-4.8956,Hôtel Teriya
138,Kavieng,PG,81.52,-2.5744,150.7967,Nusa Island Retreat
141,Damaturu,NG,84.27,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
149,Padang,ID,75.25,-0.9492,100.3543,Mercure Padang
150,Tura,IN,75.72,25.5198,90.2201,Hotel RIKMAN Continental
153,Lompoc,US,87.57,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
156,Buala,SB,79.27,-8.145,159.5921,Maringe Lagoon Lodge
160,Harper,LR,78.91,4.375,-7.7169,Screensaver
166,Filadelfia,US,81.01,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
170,Tilzapotla,MX,80.26,18.4833,-99.2667,"Quesería ""La pradera"""
171,Ormara,PK,79.66,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
172,Kloulklubed,PW,81.99,7.0419,134.2556,Storyboard Beach Resort
176,Ponta Do Sol,PT,79.0,32.6667,-17.1,Hotel do Campo
180,Bathsheba,BB,88.41,13.2167,-59.5167,Atlantis Hotel
186,Kieta,PG,78.39,-6.2167,155.6333,Uruna Bay Retreat
188,Savalou,BJ,75.15,7.9281,1.9756,Hotel F&F
189,Rodrigues Alves,BR,86.49,-7.738,-72.6509,Pousada Aconchego
197,Olinda,BR,78.53,-8.0089,-34.8553,Hotel Albergue de Olinda
203,Salalah,OM,80.69,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
210,Mogadishu,SO,78.44,2.0371,45.3438,Hotel Juba
211,Eyl,SO,78.69,7.9803,49.8164,Amiin Hotel
215,Qom,IR,83.77,34.6401,50.8764,Qom Hotel
221,Abeche,TD,77.68,13.8292,20.8324,Assaleh Hamdan Haroune
227,Kinablangan,PH,77.61,7.6947,126.5503,Danny Moreno Property
230,Gusau,NG,77.07,12.1628,6.6614,GUEST INN
232,Minab,IR,87.3,27.1467,57.0801,Bam campground
234,Salinopolis,BR,83.55,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
238,Dingle,PH,75.94,10.9995,122.6711,SEGAYA PROPERTY
239,Bambanglipuro,ID,76.26,-7.95,110.2833,Puri Brata
245,Aswan,EG,86.31,24.0934,32.907,Nuba Nile
247,Lander,US,77.11,42.833,-108.7307,"Holiday Inn Express & Suites Lander, an IHG Hotel"
249,Umm Lajj,SA,83.07,25.0213,37.2685,Moon light Furnished Units
252,Neiafu,TO,75.88,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
253,Mitsamiouli,KM,76.98,-11.3847,43.2844,Foyer ADM
256,Inirida,CO,86.9,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
257,Georgetown,MY,77.9,5.4112,100.3354,Cititel Penang
260,Hobyo,SO,78.19,5.3505,48.5268,Halane Hotel and Restaurent
262,Meulaboh,ID,76.62,4.1363,96.1285,Kost Pria
263,Pedasi,PA,82.15,7.5333,-80.0333,Selina Pedasi
266,Gboko,NG,77.11,7.3179,8.9951,Mavillah Apartment and Suites
267,Sobradinho,BR,81.41,-12.8333,-39.1,Pousada Pau Brasil
268,Santa Isabel Do Rio Negro,BR,83.84,-0.4139,-65.0192,Hotel GSA
269,Tezu,IN,76.44,27.9167,96.1667,Circuit House
271,Morgan City,US,88.03,29.6994,-91.2068,Hampton Inn & Suites Morgan City
275,Miri,MY,78.94,4.4148,114.0089,"Mega Hotel, Miri"
281,Vanimo,PG,76.14,-2.6741,141.3028,Vahmoneh Lodge Vanimo
282,Ashland,US,79.34,40.8167,-82.2665,"Holiday Inn Express & Suites Ashland, an IHG Hotel"
284,Makurdi,NG,78.51,7.7411,8.5121,Doo Palace Hotel
287,Banda Aceh,ID,79.25,5.5577,95.3222,Sulthan Hotel International
291,Jipijapa,EC,76.5,-1.3333,-80.5833,Hotel Los Ceibos Jipijapa
292,Gigmoto,PH,81.34,13.7796,124.39,Cj's Travellers Inn
297,San Cristobal,VE,80.78,7.7669,-72.225,Posada Villaven C.A.
298,Iberia,US,86.97,29.9502,-91.7507,back to back rv park
299,Petatlan,MX,85.8,17.5167,-101.2667,Hotel California Petatlán
303,Kahului,US,83.46,20.8947,-156.47,Maui Seaside Hotel
304,Katsuura,JP,75.31,35.1333,140.3,Katsuura Hotel Mikazuki
306,Matamoros,MX,86.11,25.5333,-103.25,Quinta Belem
307,Hamilton,US,83.19,39.1834,-84.5333,Six Acres Bed & Breakfast
309,Naze,JP,77.41,28.3667,129.4833,オーベルジュ・アガルイ
311,Bethel,US,78.1,41.3712,-73.414,Courtyard by Marriott Danbury
314,Ensenada,MX,76.95,31.8667,-116.6167,Best Western El Cid
318,Broome,US,78.06,42.2506,-75.833,Chenango Valley State Park
320,Jackson,US,77.36,42.4165,-122.8345,Agate Village Apartments
322,Mangrol,IN,80.71,21.1167,70.1167,Hotel The Royal Honours
331,La Spezia,IT,75.65,44.1105,9.8434,Hotel NH La Spezia
332,San Quintin,MX,80.02,30.4833,-115.95,Don Eddie's Sport Fishing Center
333,Pauini,BR,86.0,-7.7136,-66.9764,Casa do Kiwliks
337,Xiongzhou,CN,78.46,25.1167,114.3,Xinhewan Business Hotel
338,Ashqelon,IL,78.93,31.6693,34.5715,Leonardo Ashkelon
339,Qena,EG,84.58,26.1615,32.7183,"Grand hotel ""Quena"""
343,Pasighat,IN,78.4,28.0667,95.3333,Siang Guest House
344,Bull Savanna,JM,86.32,17.8868,-77.5902,Big Red's
346,Fare,PF,77.02,-16.7,-151.0167,Maitai Lapita Village Huahine
347,Matara,LK,78.15,5.9485,80.5353,Amaloh Boutique Resort
348,Belmonte,BR,82.4,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
350,Guerrero Negro,MX,86.13,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
352,Cumberland,US,86.49,35.0502,-78.8664,American Eagle Inn
358,Kralendijk,BQ,87.78,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
360,Touros,BR,83.3,-5.1989,-35.4608,INN NEW HORIZON
363,Faanui,PF,77.43,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
364,Champerico,GT,86.76,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
380,Dosso,NE,89.01,13.049,3.1937,Hotel Toubal
381,Forrest City,US,87.66,35.0081,-90.7898,Hampton Inn Forrest City
385,Assai,BR,75.06,-23.3733,-50.8414,Árvore Menor
388,Ixtapa,MX,88.23,20.7,-105.2,Hotel Plaza Providencia
389,Alappuzha,IN,78.15,9.49,76.3264,Panoramic Sea Resort
390,Hit,IQ,85.48,33.6416,42.8251,صالون زيرو
392,Sibu,MY,79.11,2.3,111.8167,RH HOTEL (4 Star)
394,Mirpur Sakro,PK,82.62,24.5474,67.6277,Ali muhammad’s house
395,Westport,US,79.2,41.1415,-73.3579,The Westport Inn
397,Carmen,MX,86.04,18.6333,-91.8333,Hotel Lossandes
400,Camacha,PT,75.52,33.0833,-16.3333,Hotel Porto Santo & Spa
401,Tual,ID,79.92,-5.6667,132.75,Grand Vilia Hotel
402,Conceicao Do Araguaia,BR,84.33,-8.2578,-49.2647,Tarumã Tropical Hotel
406,Alofi,NU,75.09,-19.0595,-169.9187,Taloa Heights
411,Kavaratti,IN,82.04,10.5669,72.642,Hotels in Lakshadweep Islands
419,Whithorn,JM,88.45,18.2604,-78.0378,Sunset Heal
428,Lazaro Cardenas,MX,85.03,17.9583,-102.2,quinta antigua
429,Owensboro,US,86.02,37.7742,-87.1133,Courtyard by Marriott Owensboro
431,Kirakira,SB,77.25,-10.4544,161.9205,SanBiz Lodge
437,Kuching,MY,79.02,1.55,110.3333,The Ranee Boutique Suites
443,Panaba,MX,78.26,21.2833,-88.2667,Posada rosario
445,Sarangani,PH,78.4,5.4033,125.4636,Ballistic Islet
455,Shache,CN,76.5,38.4167,77.2406,Delong Hotel
456,Yarmouth,US,76.12,41.7057,-70.2286,Blue Rock Resort
459,Aloleng,PH,80.46,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
461,Hambantota,LK,79.7,6.1241,81.1185,Bungalow 63
462,Luganville,VU,75.65,-15.5333,167.1667,The Espiritu Hotel
465,Saint-Georges,GD,87.48,12.0564,-61.7485,Radisson Grenada Beach Resort
466,Rio De Janeiro,BR,76.32,-22.9028,-43.2075,Hotel Málaga
467,Paracale,PH,78.13,14.2804,122.7881,Waling Waling center Paracale
471,Honiara,SB,76.44,-9.4333,159.95,Heritage Park Hotel
473,Praia,CV,82.94,14.9215,-23.5087,LT Aparthotel
475,Phonhong,LA,76.53,18.5007,102.4166,Manyvong Guest House
476,Damghan,IR,77.61,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
477,Goderich,CA,78.03,43.7501,-81.7165,Harmony Inn
479,Fort Madison,US,86.72,40.6298,-91.3151,Kingsley Inn
484,Basco,PH,80.2,20.4487,121.9702,Nathaniel's Lodge
485,Lethem,GY,89.24,3.3803,-59.7968,Savannah Inn
488,Middletown,US,83.08,39.5151,-84.3983,Center of Hope for Women and Children
491,Presidencia Roque Saenz Pena,AR,86.43,-26.7852,-60.4388,Hotel Gualok
501,Caravelas,BR,78.96,-17.7125,-39.2481,Pousada dos Navegantes
509,Karaj,IR,75.72,35.8355,51.0103,ساختمان لوتوس
510,Boromo,BF,83.28,11.75,-2.9333,Sama Camp
513,Aquiraz,BR,84.29,-3.9014,-38.3911,Pousada Rua Camurupim
516,Muroto,JP,77.07,33.2833,134.15,Oota Ryokan
517,Benghazi,LY,82.8,32.1167,20.0667,Tibesti Hotel
518,Sri Aman,MY,77.05,1.2376,111.4621,Seri Simanggang Hotel
519,Makakilo City,US,80.92,21.3469,-158.0858,Marriott's Ko Olina Beach Club
520,Jardinopolis,BR,87.22,-21.0178,-47.7639,Jardin Park Hotel - Jardinópolis
525,Alta Floresta,BR,84.02,-9.8756,-56.0861,Floresta Amazonica Hotel
526,Sorong,ID,79.05,-0.8833,131.25,waigo splash hotel
527,Odweyne,SO,78.87,9.4092,45.064,Eng Hiirey House
528,Atar,MR,84.96,20.5169,-13.0499,Oumou Elghoura
529,Cochabamba,BO,83.95,-17.3895,-66.1568,Violetta's Apart Hotel
532,Palauig,PH,79.75,15.435,119.9045,Alperi Botique Resort
539,Samarai,PG,77.88,-10.6167,150.6667,Nuli Sapi
540,Yen Bai,VN,78.82,21.7,104.8667,AK MOTEL
542,Betanzos,ES,76.33,43.2804,-8.2147,Hotel Garelos Betanzos
543,Jorochito,BO,85.73,-18.05,-63.4333,Tom´s Hauss
544,Utinga,BR,83.25,-5.8172,-35.3954,Espaço de Lazer Érica Fernandes
545,Angul,IN,77.76,20.85,85.1,Bluebay 08 satkosia Tarava
546,Nantucket,US,76.12,41.2835,-70.0995,Jared Coffin House
548,Biltine,TD,83.39,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
549,West Bay,KY,89.67,19.3667,-81.4167,Calypso Cove
551,San Buenaventura,MX,89.78,27.0833,-101.5333,Hotel Gran Plaza
552,Horn Lake,US,87.48,34.9554,-90.0348,"Hilton Garden Inn Memphis/Southaven, MS"
554,San Anselmo,US,89.87,37.9747,-122.5616,Four Points by Sheraton San Rafael Marin County
555,Elizabeth City,US,82.02,36.2946,-76.2511,Hampton Inn Elizabeth City
566,Qui Nhon,VN,80.91,13.7667,109.2333,Hoang Yen Canary Hotel
567,Dalbandin,PK,81.63,28.8947,64.4101,Gidaan Guest House
568,Ganzhou,CN,76.15,28.8184,115.4327,Laotou Farm Restaurant Hostel
