City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
6,Alofi,NU,78.69,-19.0595,-169.9187,Taloa Heights
21,Guanica,PR,84.06,17.9716,-66.908,Copamarina Beach Resort & Spa
22,Acapulco,MX,80.49,16.8634,-99.8901,HS Hotsson Smart Acapulco
23,Qidong,CN,85.03,31.8128,121.6561,Hilton Garden Inn Qidong
24,Sao Filipe,CV,78.91,14.8961,-24.4956,Hotel Xaguate
31,Kavaratti,IN,81.77,10.5669,72.642,Hotels in Lakshadweep Islands
33,Tautira,PF,82.42,-17.7333,-149.15,Pension Oaoa
36,Kokopo,PG,85.3,-4.352,152.2633,Kokopo Beach Bungalow Resort
37,Catarman,PH,81.73,12.4989,124.6377,Pink City Pension Hotel
41,Dori,BF,82.74,14.0354,-0.0345,Hôtel Liptako
43,Atuona,PF,78.49,-9.8,-139.0333,Villa Enata
55,Gurupi,BR,87.17,-11.7292,-49.0686,Via Norte Hotel
59,Touros,BR,76.1,-5.1989,-35.4608,INN NEW HORIZON
63,Puerto Escondido,MX,81.66,15.85,-97.0667,Aldea del Bazar Hotel and Spa
70,Kulhudhuffushi,MV,82.54,6.6221,73.07,Hondaafushi Island Resort
73,Itoman,JP,86.02,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
75,Kapaa,US,84.52,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
81,Katobu,ID,77.32,-4.9408,122.5276,La Ode Husein
83,Hasaki,JP,77.4,35.7333,140.8333,Hotel Sunrise Choshi
85,Guarapari,BR,75.09,-20.6667,-40.4975,Hotel Porto do Sol
91,Georgetown,MY,77.9,5.4112,100.3354,Cititel Penang
99,Key West,US,86.0,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
101,Sola,VU,79.47,-13.8833,167.55,Leumerus Bungalows
102,Umm Lajj,SA,89.37,25.0213,37.2685,Moon light Furnished Units
104,Dakoro,NE,87.96,14.5106,6.765,Shagon mai liverpool
105,Butaritari,KI,83.37,3.0707,172.7902,Isles Sunset Lodge
109,Nikko,JP,75.06,36.75,139.6167,Nikko Senhime Monogatari
113,Road Town,VG,86.04,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
115,Port Blair,IN,79.0,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
116,Nabire,ID,83.5,-3.3667,135.4833,Hotel Nusantara Nabire
117,Puerto Cabezas,NI,84.16,14.0351,-83.3888,Cabaña Caribe
120,Bathsheba,BB,83.01,13.2167,-59.5167,Atlantis Hotel
126,Dingle,PH,77.58,10.9995,122.6711,SEGAYA PROPERTY
127,Avarua,CK,78.85,-21.2078,-159.775,Paradise Inn
137,Linguere,SN,84.42,15.3953,-15.1193,AYO Casablanca
141,Cabo San Lucas,MX,79.14,22.8909,-109.9124,Hotel Tesoro Los Cabos
142,Paragominas,BR,76.75,-2.9667,-47.4833,INOVA
144,Jian,CN,82.62,27.1172,114.9793,Luling International Hotel
150,Guerrero Negro,MX,78.08,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
154,Gondanglegi,ID,78.64,-7.7479,112.0132,Ndoll Gondanglegi
155,Kloulklubed,PW,81.99,7.0419,134.2556,Storyboard Beach Resort
160,Cayenne,GF,82.09,4.9333,-52.3333,Hôtel Le Dronmi
168,Hilo,US,82.26,19.7297,-155.09,Hilo Hawaiian Hotel
169,Bengkulu,ID,76.03,-3.8004,102.2655,Grage Hotel Bengkulu
170,Korla,CN,75.97,41.7597,86.1469,Gulisitan Hotel
171,Pagudpud,PH,80.56,18.5616,120.7868,Saud Beach Resort and Hotel - 2
177,Veraval,IN,79.57,20.9,70.3667,Lords Inn Somnath
179,Bontang,ID,76.96,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
181,Obidos,BR,82.98,-1.9175,-55.5181,Hotel Amazônia Center
182,Najran,SA,84.85,17.4924,44.1277,محمد هادي ال فطيح
187,Bandarbeyla,SO,77.5,9.4942,50.8122,JABIR HOTEL
188,Robat Karim,IR,75.06,35.4846,51.0829,لوازم خانگي شايان
189,Hithadhoo,MV,82.96,-0.6,73.0833,Scoop Guest House
190,Vila Velha,BR,75.15,-20.3297,-40.2925,Quality Suites Vila Velha
194,Salalah,OM,78.33,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
200,Hami,CN,76.96,42.8,93.45,Laoyutang Resort
204,Santo Antonio Do Leverger,BR,75.58,-15.8656,-56.0767,Chácara Do SINETRAN
206,Porto Novo,BJ,78.62,6.4965,2.6036,Tour Eiffel Hotel Benin
207,San Quintin,MX,75.74,30.4833,-115.95,Don Eddie's Sport Fishing Center
210,Kutum,SD,77.18,14.2,24.6667,Dibbo areaمنطقة دبو
212,Monrovia,LR,77.34,6.3005,-10.7969,Sunset Inn
213,Erzin,TR,79.0,36.9559,36.2,Artemis Otel
215,Hobyo,SO,77.07,5.3505,48.5268,Halane Hotel and Restaurent
221,Denpasar,ID,78.46,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
224,Kelapa Sawit,MY,75.31,1.6698,103.5327,Tea Garden Hotel
228,Isangel,VU,75.31,-19.55,169.2667,Tanna Lodge
229,Marbella,ES,78.26,36.5154,-4.8858,Hotel Fuerte Marbella
230,Ternate,ID,81.12,0.8,127.4,Grand Dafam Bela Ternate
233,Tiarei,PF,82.42,-17.5333,-149.3333,Le Rocher de Tahiti
235,Cabedelo,BR,75.87,-6.9811,-34.8339,Hotel Pigalle
239,Dholka,IN,79.18,22.7167,72.4667,jalalpur godhaneshwer
250,Springfield,US,79.18,37.2153,-93.2982,University Plaza Hotel & Convention Center
252,Kobayashi,JP,76.5,31.9833,130.9833,小林シティホテルPALACE
253,Portland,US,87.78,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
258,Pathein,MM,76.05,16.7833,94.7333,New Pammawaddy Hotel
260,Kailua,US,84.74,21.4022,-157.7394,Sheffield House Bed & Breakfast
262,Consolacion Del Sur,CU,79.36,22.5047,-83.5136,Cuarto de alquiler
